name,name_input,cas_number,delta_d,delta_p,delta_h,radius,type,subclass,data_type,data_reliability,confidence,source_count,source,source_url,name_iupac,name_common,name_common_all,name_acronyms,product_url,tds_url,sds_url,processing_notes,hidden
CELLIT BP-300,CELLIT BP-300,,16.6,12.0,6.7,10.2,cellulosic,cellulose acetate butyrate or propionate,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/CELLIT BP-300/property/IUPACName/JSON,Bayer CAB or CAP cellulosic plastics,Bayer CAB or CAP cellulosic plastics,CELLIT; BP,"PENDING|brave:""CELLIT BP-300"" manufacturer product page","PENDING|brave:""CELLIT BP-300"" technical data sheet filetype:pdf","PENDING|brave:""CELLIT BP-300"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
CELLIDORA A,CELLIDORA A,,18.2,12.4,10.8,7.4,cellulosic,cellulose acetate butyrate (CAB),material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/CELLIDORA A/property/IUPACName/JSON,Bayer CAB; butyrate/acetate ratio varies by grade,Bayer CAB; butyrate/acetate ratio varies by grade,,"PENDING|brave:""CELLIDORA A"" manufacturer product page","PENDING|brave:""CELLIDORA A"" technical data sheet filetype:pdf","PENDING|brave:""CELLIDORA A"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
ETHOCEL HE10,ETHOCEL HE10,,17.9,4.3,3.9,5.9,cellulosic,ethyl cellulose,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/ETHOCEL HE10/property/IUPACName/JSON,Dow ethyl cellulose; DS ~2.2–2.6,Dow ethyl cellulose; DS ~2.2–2.6,,"PENDING|brave:""ETHOCEL HE10"" manufacturer product page","PENDING|brave:""ETHOCEL HE10"" technical data sheet filetype:pdf","PENDING|brave:""ETHOCEL HE10"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
ETHOCEL STD 20,ETHOCEL STD 20,,20.1,6.9,5.9,9.9,cellulosic,ethyl cellulose,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/ETHOCEL STD 20/property/IUPACName/JSON,Dow ethyl cellulose; DS ~2.2–2.6,Dow ethyl cellulose; DS ~2.2–2.6,STD,"PENDING|brave:""ETHOCEL STD 20"" manufacturer product page","PENDING|brave:""ETHOCEL STD 20"" technical data sheet filetype:pdf","PENDING|brave:""ETHOCEL STD 20"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
ARALDITE DY-025,ARALDITE DY O25,,14.0,7.4,9.4,13.7,epoxy resin,bisphenol A or cycloaliphatic epoxy,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/ARALDITE DY-025/property/IUPACName/JSON,Huntsman Araldite epoxy resin or hardener,Huntsman Araldite epoxy resin or hardener,DY,"PENDING|brave:""ARALDITE DY-025"" manufacturer product page","PENDING|brave:""ARALDITE DY-025"" technical data sheet filetype:pdf","PENDING|brave:""ARALDITE DY-025"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; FIX6: ARALDITE DY O25 → ARALDITE DY-025; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
EPIKOTE 828,EPIKOTE 828,,23.1,14.6,5.0,20.5,epoxy resin,bisphenol A diglycidyl ether epoxy,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/EPIKOTE 828/property/IUPACName/JSON,Hexion/Momentive bisphenol A epoxy resin,Hexion/Momentive bisphenol A epoxy resin,,"PENDING|brave:""EPIKOTE 828"" manufacturer product page","PENDING|brave:""EPIKOTE 828"" technical data sheet filetype:pdf","PENDING|brave:""EPIKOTE 828"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
EPIKOTE 1001,EPIKOTE 1001,,20.0,10.32,10.11,10.02,epoxy resin,bisphenol A diglycidyl ether epoxy,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/EPIKOTE 1001/property/IUPACName/JSON,Hexion/Momentive bisphenol A epoxy resin,Hexion/Momentive bisphenol A epoxy resin,,"PENDING|brave:""EPIKOTE 1001"" manufacturer product page","PENDING|brave:""EPIKOTE 1001"" technical data sheet filetype:pdf","PENDING|brave:""EPIKOTE 1001"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
EPIKOTE 1004,EPIKOTE 1004,,17.4,10.5,9.0,7.9,epoxy resin,bisphenol A diglycidyl ether epoxy,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/EPIKOTE 1004/property/IUPACName/JSON,Hexion/Momentive bisphenol A epoxy resin,Hexion/Momentive bisphenol A epoxy resin,,"PENDING|brave:""EPIKOTE 1004"" manufacturer product page","PENDING|brave:""EPIKOTE 1004"" technical data sheet filetype:pdf","PENDING|brave:""EPIKOTE 1004"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
EPIKOTE 1007,EPIKOTE 1007,,21.0,11.1,13.4,11.7,epoxy resin,bisphenol A diglycidyl ether epoxy,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/EPIKOTE 1007/property/IUPACName/JSON,Hexion/Momentive bisphenol A epoxy resin,Hexion/Momentive bisphenol A epoxy resin,,"PENDING|brave:""EPIKOTE 1007"" manufacturer product page","PENDING|brave:""EPIKOTE 1007"" technical data sheet filetype:pdf","PENDING|brave:""EPIKOTE 1007"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
EPIKOTE 1009,EPIKOTE 1009,,19.3,9.37,10.95,8.26,epoxy resin,bisphenol A diglycidyl ether epoxy,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/EPIKOTE 1009/property/IUPACName/JSON,Hexion/Momentive bisphenol A epoxy resin,Hexion/Momentive bisphenol A epoxy resin,,"PENDING|brave:""EPIKOTE 1009"" manufacturer product page","PENDING|brave:""EPIKOTE 1009"" technical data sheet filetype:pdf","PENDING|brave:""EPIKOTE 1009"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
PKHH,PKHH,,23.4,7.2,14.8,14.9,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/PKHH/property/IUPACName/JSON,PENDING|haiku: composition of PKHH,PENDING|haiku: composition of PKHH,PKHH,"PENDING|brave:""PKHH"" manufacturer product page","PENDING|brave:""PKHH"" technical data sheet filetype:pdf","PENDING|brave:""PKHH"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
VERSAMID 100,VERSAMID 100,,23.8,5.3,16.2,16.1,polyamide resin,dimer acid-based polyamide,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/VERSAMID 100/property/IUPACName/JSON,Cognis/BASF dimer acid polyamide; used as epoxy hardener,Cognis/BASF dimer acid polyamide; used as epoxy hardener,,"PENDING|brave:""VERSAMID 100"" manufacturer product page","PENDING|brave:""VERSAMID 100"" technical data sheet filetype:pdf","PENDING|brave:""VERSAMID 100"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
VERSAMID 115,VERSAMID 115,,20.3,6.6,14.1,9.6,polyamide resin,dimer acid-based polyamide,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/VERSAMID 115/property/IUPACName/JSON,Cognis/BASF dimer acid polyamide; used as epoxy hardener,Cognis/BASF dimer acid polyamide; used as epoxy hardener,,"PENDING|brave:""VERSAMID 115"" manufacturer product page","PENDING|brave:""VERSAMID 115"" technical data sheet filetype:pdf","PENDING|brave:""VERSAMID 115"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
VERSAMID 125,VERSAMID 125,,24.9,3.1,18.7,20.3,polyamide resin,dimer acid-based polyamide,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/VERSAMID 125/property/IUPACName/JSON,Cognis/BASF dimer acid polyamide; used as epoxy hardener,Cognis/BASF dimer acid polyamide; used as epoxy hardener,,"PENDING|brave:""VERSAMID 125"" manufacturer product page","PENDING|brave:""VERSAMID 125"" technical data sheet filetype:pdf","PENDING|brave:""VERSAMID 125"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
VERSAMID 140,VERSAMID 140,,26.9,2.4,18.5,24.0,polyamide resin,dimer acid-based polyamide,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/VERSAMID 140/property/IUPACName/JSON,Cognis/BASF dimer acid polyamide; used as epoxy hardener,Cognis/BASF dimer acid polyamide; used as epoxy hardener,,"PENDING|brave:""VERSAMID 140"" manufacturer product page","PENDING|brave:""VERSAMID 140"" technical data sheet filetype:pdf","PENDING|brave:""VERSAMID 140"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
DESMOPHEN 651,DESMOPHEN 651,,17.7,10.6,11.6,9.5,polyurethane precursor,polyester/polyether polyol,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DESMOPHEN 651/property/IUPACName/JSON,Covestro polyol for polyurethane synthesis,Covestro polyol for polyurethane synthesis,,"PENDING|brave:""DESMOPHEN 651"" manufacturer product page","PENDING|brave:""DESMOPHEN 651"" technical data sheet filetype:pdf","PENDING|brave:""DESMOPHEN 651"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
DESMOPHEN 800,DESMOPHEN 800,,19.1,12.2,9.9,8.0,polyurethane precursor,polyester/polyether polyol,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DESMOPHEN 800/property/IUPACName/JSON,Covestro polyol for polyurethane synthesis,Covestro polyol for polyurethane synthesis,,"PENDING|brave:""DESMOPHEN 800"" manufacturer product page","PENDING|brave:""DESMOPHEN 800"" technical data sheet filetype:pdf","PENDING|brave:""DESMOPHEN 800"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
DESMOPHEN 850,DESMOPHEN 850,,21.54,14.94,12.28,16.78,polyurethane precursor,polyester/polyether polyol,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DESMOPHEN 850/property/IUPACName/JSON,Covestro polyol for polyurethane synthesis,Covestro polyol for polyurethane synthesis,,"PENDING|brave:""DESMOPHEN 850"" manufacturer product page","PENDING|brave:""DESMOPHEN 850"" technical data sheet filetype:pdf","PENDING|brave:""DESMOPHEN 850"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
DESMOPHEN 1100,DESMOPHEN 1100,,16.0,13.1,9.2,11.4,polyurethane precursor,polyester/polyether polyol,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DESMOPHEN 1100/property/IUPACName/JSON,Covestro polyol for polyurethane synthesis,Covestro polyol for polyurethane synthesis,,"PENDING|brave:""DESMOPHEN 1100"" manufacturer product page","PENDING|brave:""DESMOPHEN 1100"" technical data sheet filetype:pdf","PENDING|brave:""DESMOPHEN 1100"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
DESMOPHEN 1150,DESMOPHEN 1150,,20.6,7.8,11.6,13.1,polyurethane precursor,polyester/polyether polyol,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DESMOPHEN 1150/property/IUPACName/JSON,Covestro polyol for polyurethane synthesis,Covestro polyol for polyurethane synthesis,,"PENDING|brave:""DESMOPHEN 1150"" manufacturer product page","PENDING|brave:""DESMOPHEN 1150"" technical data sheet filetype:pdf","PENDING|brave:""DESMOPHEN 1150"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
