Name,CAS Number,γS (mJ/m²),γS_d (mJ/m²),γS_P (mJ/m²),γS_AB_total (mJ/m²),γS_LW (mJ/m²),γS_AB (mJ/m²),γS+ (mJ/m²),γS- (mJ/m²),δ_total (MPa^0.5),δD (MPa^0.5),δP (MPa^0.5),δH (MPa^0.5),R0 (MPa^0.5)
"Nylon 7,7",,,,,,,,,,,,,,
"Nylon 8,8",,,,,,,,,,,,,,
"Nylon 9,9",,,,,,,,,,,,,,
Paraffin,8002-74-2,28.1,28.1,0.0,,,,,,,,,,
Phenoxy resin,26402-79-9,,,,,,,,,,,,,
Poly 2-ethylhexyl acrylate,9003-77-4,30.1,28.9,1.3,,,,,,,,,,
Poly 2-ethylhexyl methacrylate,25719-51-1,,,,,,,,,,,,,
Poly iso-butyl methacrylate (PIBMA),9011-15-8,30.9,26.3,4.7,,,,,,20.0,18.3,4.9,6.3,9.4
Poly n-butyl acrylate,9003-49-0,32.2,28.6,3.6,,,,,,,,,,
Poly n-butyl methacrylate (PnBMA),95608-33-7,32.3,27.3,5.0,,,,,,18.4,16.0,6.2,6.6,9.5
Poly t-butyl methacrylate (PtBMA),25189-00-9,30.5,26.5,4.0,,,,,,,,,,
Poly(L-alanine),25191-17-7,45.2,36.0,9.2,,,,,,,,,,
Polyacetylene (polyethyne),,51.5,48.2,3.4,,,,,,,,,,
Polyacrylamide,9003-05-8,52.3,26.5,25.8,,,,,,,,,,
Polyacrylonitrile (PAN),25014-41-9,,,,,,,,,27.4,21.7,14.1,9.1,10.9
Polybenzyl methacrylate,25085-83-0,,,,,,,,,,,,,
Polybutadiene,9003-17-2,,,,,,,,,18.0,17.5,2.3,3.4,6.6
Polybutylene isophthalate,,47.8,34.9,12.9,,,,,,,,,,
Polybutylene terephthalate (PBT),26062-94-2,46.0,42.0,4.1,47.1,45.8,1.3,0.8,0.6,,,,,
Polycarbonate (PC),24936-68-3,43.4,38.2,5.2,,,,,,22.2,19.6,8.8,5.7,10.2
Polychloroprene,9010-98-4,43.6,38.8,4.8,,,,,,,,,,
Polychlorotrifluoroethylene,9002-83-9,29.5,22.6,6.9,,,,,,16.5,15.6,2.5,4.7,5.8
Polydiethylsiloxane (PDES),63148-61-8,25.7,23.8,1.9,,,,,,,,,,
Poly(dimethylaminoethylmethacrylate),,,,,,,,,,,,,,
Polydimethylsiloxane (PDMS),9016-00-6,205,19.2,1.3,,,,,,,,,,
Polyepichlorohydrin,24969-06-0,,,,,,,,,,,,,
Polyetheretherketone (PEEK),29658-26-2,42.1,36.2,5.9,,,,,,,,,,
Polyetherimide (PEI),61128-46-9,,,,,,,,,19.8,17.7,6.0,6.4,4.8
Polyethersulfone (PES),25154-01-2,47.0,40.0,7.0,,,,,,21.0,18.3,8.2,6.4,6.3
Polyethyl acrylate (PEA),9003-32-1,37.0,30.6,6.4,,,,,,,,,,
Polyethyl methacrylate (PEMA),9003-42-3,35.9,26.9,9.0,,,,,,20.0,17.5,8.5,4.7,9.6
"Polyethylene oxide (PEO, PEG, polyethylene glycol)",25322-68-3,42.8,30.8,12.1,45.1,44.3,0.8,0.02,58.0,,,,,
Polyethylene terephthalate (PET),25038-59-9,43.7,36.6,7.2,45.3,42.6,1.8,0.3,3.7,20.8,18.7,6.3,6.7,6.5
Polyethylene (PE),9002-88-4,34.2,32.8,1.4,31.7,31.5,0.2,0.1,0.9,17.6,16.8,3.8,3.8,6.6
Poly(heptadecafluorooctyl methacrylate),,15.3,13.9,1.4,,,,,,,,,,
Poly(heptafluoroisopropyl acrylate),,,,,,,,,,,,,,
Poly(heptafluoroisopropyl methacrylate),,,,,,,,,,,,,,
Poly(hexachlorobutadiene),,41.5,40.7,0.8,,,,,,,,,,
Poly(hexafluoropropylene),,14.9,13.6,1.3,,,,,,,,,,
Poly(hexyl methacrylate),25087-17-6,30.0,27.6,2.5,,,,,,,,,,
Poly(2-hydroxyethyl methacrylate),24249-16-5,,,,,,,,,,,,,
Polyimide (PI),25038-81-7,47.0,38.2,8.8,44.0,42.5,1.5,0.1,6.0,,,,,
"Polyisobutylene (PIB, butyl (rubber)",9003-27-4,33.6,33.6,0.0,25.0,25.0,0.0,0.0,0.0,17.1,16.4,1.7,4.7,7.9
Polyisoprene (PIP),9003-31-0,,,,,,,,,18.4,18.1,2.4,2.3,10.3
Polylauryl methacrylate,25719-52-2,,,,,,,,,,,,,
Polymethacrylonitrile (PMAN),25067-61-2,,,,,,,,,23.7,17.2,14.4,7.6,3.8
Polymethyl acrylate (PMA),25087-26-7,41.4,35.6,5.8,,,,,,,,,,
"Polymethyl methacrylate (PMMA, acrylic, plexiglas)",9011-14-7,43.5,35.9,7.8,42.2,41.6,0.6,0.0,11.1,21.3,17.9,10.1,5.4,11.0
Poly(4-methyl pentene-1),,,,,,,,,,,,,,
Poly a-methyl styrene,25014-31-7,,,,,,,,,,,,,
Polymethylphenylsiloxane,9005-12-3,,,,,,,,,,,,,
Polymethylphenylsilylene,,,,,,,,,,,,,,
Poly(nonafluoroisobutyl acrylate),,,,,,,,,,,,,,
Polyoctyl methacrylate,,,,,,,,,,,,,,
"Polyoxymethylene (POM, polyacetal, polymethylene oxide)",24969-26-4,39.0,26.2,12.8,,,,,,,,,,
Polyphenyl methacrylate,,,,,,,,,,,,,,
Polyphenylene oxide (PPO),25134-01-4,46.0,36.0,10.0,,,,,,20.1,17.9,3.1,8.5,8.6
Polyphenylene sulfide (PPS),26125-40-6,46.8,44.0,2.8,,,,,,19.8,18.7,5.3,3.7,6.7
Poly(phosphazene),,,,,,,,,,,,,,
Poly n-propyl methacrylate,2210-79-9,,,,,,,,,,,,,
"Polypropylene glycol (PPG, polypropylene oxide)",25322-69-4,31.7,31.3,0.4,,,,,,,,,,
Polypropylene isophthalate,,49.3,35.1,14.2,,,,,,,,,,
Polypropylene (PP),,30.1,27.7,2.4,32.0,31.7,0.3,0.2,0.4,18.0,17.7,2.9,1.2,6.2
Polystearyl methacrylate,25639-21-8,,,,,,,,,,,,,
Polystyrene (PS),9003-53-6,41.7,37.0,5.0,36.9,37.9,-0.9,0.1,2.2,23.9,22.8,5.8,4.3,12.7
Polysulfone (PSU),25135-51-7,46.6,30.4,16.2,,,,,,21.5,18.5,8.5,7.0,9.4
Polytetrafluoroethylene (PTFE),9002-84-0,22.2,21.3,0.9,20.8,19.9,0.9,0.1,1.6,16.7,16.2,1.8,3.4,3.9
Polytetrahydrofuran (PTHF),25190-06-1,31.9,27.2,4.7,,,,,,,,,,
Polytetramethylene oxide,,31.9,27.4,4.5,,,,,,,,,,
Polytrifluoroethylene,24980-67-4,27.5,22.0,5.4,25.4,23.1,2.3,1.8,0.7,,,,,
Polyurethanes,,39.3,30.8,8.6,30.0,30.9,-0.9,0.02,10.0,22.8,18.8,10.0,8.2,9.8
Polyvinyl acetate (PVA),9003-20-7,37.7,24.8,13.0,44.5,42.6,1.9,0.04,22.3,25.7,20.9,11.3,9.7,13.7
Polyvinyl alcohol (PVOH),25213-24-5,,,,42.0,42.0,0.0,0.0,37.0,25.2,14.7,14.1,14.9,10.5
Polyvinyl butyral,63148-65-2,,,,,,,,,24.6,19.1,9.5,12.2,10.0
Polyvinyl butyrate,,31.1,25.8,5.3,,,,,,,,,,
Polyvinyl chloride (PVC),9002-86-2,40.1,37.4,2.8,39.8,38.7,1.0,0.1,3.1,20.0,16.8,8.9,6.1,8.5
Polyvinyl decanoate,,28.9,27.1,1.8,,,,,,,,,,
Polyvinyl dodecanoate,,29.1,27.8,1.3,,,,,,,,,,
Polyvinyl ethyl ether (polyethoxyethylene),25104-37-4,,,,,,,,,,,,,
Polyvinyl fluoride (PVF),24981-14-4,38.6,34.0,4.6,37.5,35.6,1.9,2.8,6.0,,,,,
Polyvinyl formal,63450-15-7,,,,,,,,,,,,,
Polyvinyl hexadecanoate,,30.9,29.8,1.1,,,,,,,,,,
Polyvinyl hexanoate,,28.9,25.1,3.8,,,,,,,,,,
Polyvinyl octanoate,,28.7,26.5,2.2,,,,,,,,,,
Polyvinyl proprionate,25035-84-1,34.0,26.5,7.5,,,,,,,,,,
Polyvinyl pyrrolidone (PVP),9003-39-8,,,,46.0,43.4,2.6,0.2,22.5,,,,,
"Polyvinylidene chloride (PVDC, Saran)",9002-85-1,45.3,40.4,4.9,40.3,40.4,-0.1,0.0,2.6,23.1,19.0,9.6,9.0,5.8
Polyvinylidene fluoride (PVDF),24937-79-9,34.4,25.7,8.7,30.5,28.6,1.9,10.5,0.08,23.2,17.0,12.1,10.2,4.1
Polyxylylene (parylene),,46.3,45.7,0.6,,,,,,,,,,
Thermoplastic polyolefin (TPO),,30.9,28.5,2.3,,,,,,,,,,
